dataset,station_name,date_start,date_end,lat,lon,hydrophone_serial,sensitivity,depth,clock_drift_ppm,gps_sync ,batterie,comment
MAHY0,MAHY01,2020-10-16 00:11:45,2021-04-10 03:02:00,-13.19513,45.3563,580019,-173.5,1303,0.1293,OK,,
MAHY0,MAHY02,2020-10-15 00:13:04,2021-04-11 09:37:31,-13.35289,45.82332,580017,-173.5,1342,0.07,OK,,
MAHY0,MAHY03,2020-10-14 09:17:51,2021-04-08 06:11:43,-12.77,46.156,580011,-173.8,1366,-0.0146,OK,,
MAHY0,MAHY04,2020-10-13 15:03:55,2021-04-12 05:28:50,-12.48998,45.54957,580009,-173.9,1331,0.0773,OK,,
MAHY1,MAHY11,2021-04-10 05:46:28,2021-08-24 03:53:55,-13.19445,45.35729,580019,-173.5,1309,,KO,,
MAHY1,MAHY12,2021-04-11 13:03:49,2021-08-12 11:48:45,-13.35306,45.82225,580017,-173.5,1346,,KO,,
MAHY1,MAHY13,2021-04-08 10:14:30,2021-09-17 02:39:57,-12.77045,46.15438,580020,-173.5,1374,0.0808,OK,,
MAHY1,MAHY14,2021-04-12 12:38:17,2021-09-23 11:57:43,-12.48962,45.54959,580009,-173.9,1332,0.0763,OK,,
MAHY2,MAHY21,2021-09-23 03:19:07,2022-07-14 04:40:12,-13.19436,45.35647,580019,-173.5,1306,0.083,OK,,
MAHY2,MAHY22,2021-09-24 23:43:15,2022-07-13 06:06:54,-13.35262,45.82258,580017,-173.5,1347,,KO,,
MAHY2,MAHY23,2021-09-17 06:54:26,2022-07-16 09:38:57,-12.77153,46.15681,580020,-173.5,1384,,KO,,
MAHY3,MAHY31,2022-07-14 09:15:28,2023-09-20 08:50:37,-13.19533,45.35683,580019,-173.5,1301,-0.0715,OK,,
MAHY3,MAHY32,2022-07-14 17:59:03,2023-09-16 03:56:30,-13.3545,45.8235,580017,-173.5,1356,0.0416,OK,,
MAHY3,MAHY33,2022-07-16 14:11:10,2023-06-10 21:12:56,-12.7715,46.15567,580020,-173.5,1396,-0.199,Uncertain,,
MAHY3,MAHY34,2022-07-10 01:13:05,2023-09-19 05:48:53,-12.51283,45.55417,580009,-173.9,1342,0.1045,OK,,
MAHY4,MAHY41,2023-09-20 11:57:04,2024-09-26 12:46:24,-13.19569,45.35223,580019,-173.5,1263,0.0952,OK,,
MAHY4,MAHY42,2023-09-16 08:57:09,2024-07-02 19:55:45,-13.35617,45.82179,580017,-173.5,1303,,KO,,
MAHY4,MAHY43,2023-09-14 19:11:07,2024-09-20 14:59:19,-12.78354,46.15846,,-173.5,,,,,there were 2 MAHY43 (1 bot 1 top)
MAHY4,MAHY44,2023-09-19 14:48:12,2024-10-03 04:49:17,-12.51209,45.55533,580009,-173.9,1302,0.0826,OK,,
